Target,N,Metric,Value
LeadProb,32604,AUC,0.9095834265776742
LeadProb,32604,LogLoss,0.1017135832858042
LeadProb,32604,Brier,0.0280055201129763
FirstPosRate,32604,MAE,0.1409583806976848
FirstPosRate,32604,Spearman,0.8669121843179441
ThreePosRate,32604,MAE,0.2196535944637418
ThreePosRate,32604,Spearman,0.5068911446647821
FourPosRate,32604,MAE,0.2206801852348401
FourPosRate,32604,Spearman,0.4884157458916454
FullWinProb_distill,701,MAE_vs_validated_OOF,0.028516355374292424
FullWinProb_distill,701,Spearman_vs_validated_OOF,0.852244427588086
